#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
callGenomeSegment_chromId_003_4_0006	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:71682857-83629998 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0006.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0006.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0006.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0006	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0006		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0006.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0006.vcf"
callGenomeSegment_chromId_003_4_0007	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:83629999-95577140 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0007.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0007.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0007.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0007	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0007		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0007.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0007.vcf"
callGenomeSegment_chromId_003_4_0008	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:95577141-107524282 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0008.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0008.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0008.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0008	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0008		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0008.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0008.vcf"
callGenomeSegment_chromId_003_4_0009	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:107524283-119471424 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0009.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0009.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0009.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0009	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0009		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0009.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0009.vcf"
callGenomeSegment_chromId_003_4_0010	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:119471425-131418566 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0010.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0010.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0010.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0010	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0010		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0010.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0010.vcf"
